"","Symbol","Last","% Change","Day Range","Low","High","Volume","Bid","Ask","Year Range","Year Low","Year High","Prev. Close","Market Cap","P/E","Beta","% MTD","% YTD"
"","AAPL","171.85","1.9941836310760186","845720991.1321458","169.43","172.14","68039382","171.6","171.99","4062692.004959999","129.04","182.94","168.49","2707769092000","27.84","1.2175","5.901175312288487","-3.0804753055133194"
"","ABNB","124.4","2.3868312757201693","230361087.03750002","121.82","125","5012478","121","124.4","2295110.42301398","86.71","212.5838","121.5","75692434500","66.48","1.5071","12.19138583528563","-25.21472761126794"
"","ADBE","445.78","2.5040814918715126","37775404020.7226","437","446","2150845","440","447.11","105376229.22839999","338","699.54","434.89","203528520000","42.45","1.1957","8.668194674729346","-21.406905794801247"
"","ADI","179.03","2.566599828129479","985718896.7501502","175.23","179.78","3198431","172.6","181.14","4765640.544499999","138.5","191.95","174.55","90732137300","49.51","1.2495","4.2451732961153565","1.9855492973772426"
"","ADP","257.08","2.7374815170043476","4153020006.7209835","251.3","257.2","1258391","247.67","260","12588973.313999997","192.26","255","250.23","103974818900","35.73","1.0602","6.494691439946898","4.136588531105501"
"","ADSK","232.36","2.244125671037578","2825805094.9188266","228.92","233.11","957159","226.2","235","13096198.42848","163.2","344.39","227.26","49377234700","103.14","1.2761","7.715421597633143","-17.134321988690925"
"","AEP","103.96","2.7272727272727115","111075702.949024","101.84","103.85","3186598","103.35","104","872567.5239960001","80.22","104.81","101.2","51989880800","19.94","0.5841","5.2962662337662225","16.64606046982129"
"","ALGN","289.5","0.7376992135847971","6905442457.40939","285.85","290.87","553784","279.69","305.74","48136102.62008","225.86","737.452","287.38","22446734500","36.79","1.4517","2.8579563654482554","-56.02422471773334"
"","AMAT","110.39","4.60532549985786","137684803.45208398","106.2","111.3","6644695","110","111.76","1524441.6450760001","82.67","167.06","105.53","91805506900","14.08","1.6062","4.151726740894501","-29.855109303507888"
"","AMD","100.76","2.6905829596412634","99597177.30568321","99.28","101.4","72316345","98.37","100.95","1187306.4069371999","71.6","164.4599","98.12","159004441200","41.25","1.4302","6.732295966973645","-29.930507296733843"
