,constituents,symbol
0,AADI,^RUT
1,AAN,^RUT
2,AAON,^RUT
3,AAT,^RUT
4,AAWW,^RUT
5,ABCB,^RUT
6,ABCL,^RUT
7,ABG,^RUT
8,ABM,^RUT
9,ABR,^RUT
10,ABSI,^RUT
11,ABTX,^RUT
12,ABUS,^RUT
13,AC,^RUT
14,ACA,^RUT
15,ACAD,^RUT
16,ACCD,^RUT
17,ACCO,^RUT
18,ACEL,^RUT
19,ACET,^RUT
20,ACHR,^RUT
21,ACIW,^RUT
22,ACLS,^RUT
23,ACLX,^RUT
24,ACMR,^RUT
25,ACNB,^RUT
26,ACRE,^RUT
27,ACRS,^RUT
28,ACT,^RUT
29,ACVA,^RUT
30,ADC,^RUT
31,ADGI,^RUT
32,ADMA,^RUT
33,ADNT,^RUT
34,ADPT,^RUT
35,ADRO,^RUT
36,ADTH,^RUT
37,ADTN,^RUT
38,ADUS,^RUT
39,ADV,^RUT
40,AEIS,^RUT
41,AEL,^RUT
42,AEO,^RUT
43,AERI,^RUT
44,AEVA,^RUT
45,AFCG,^RUT
46,AFMD,^RUT
47,AGEN,^RUT
48,AGIO,^RUT
49,AGM,^RUT
50,AGTI,^RUT
51,AGX,^RUT
52,AGYS,^RUT
53,AHCO,^RUT
54,AHH,^RUT
55,AHT,^RUT
56,AI,^RUT
57,AIMC,^RUT
58,AIN,^RUT
59,AIP,^RUT
60,AIR,^RUT
61,AIRS,^RUT
62,AIT,^RUT
63,AIV,^RUT
64,AJRD,^RUT
65,AKA,^RUT
66,AKR,^RUT
67,AKRO,^RUT
68,AKTS,^RUT
69,AKYA,^RUT
70,ALBO,^RUT
71,ALCO,^RUT
72,ALE,^RUT
73,ALEC,^RUT
74,ALEX,^RUT
75,ALG,^RUT
76,ALGT,^RUT
77,ALHC,^RUT
78,ALIT,^RUT
79,ALKS,^RUT
80,ALKT,^RUT
81,ALLO,^RUT
82,ALPN,^RUT
83,ALRM,^RUT
84,ALRS,^RUT
85,ALTG,^RUT
86,ALTO,^RUT
87,ALTR,^RUT
88,ALVR,^RUT
89,ALX,^RUT
90,ALXO,^RUT
91,AMAL,^RUT
92,AMBA,^RUT
93,AMBC,^RUT
94,AMCX,^RUT
95,AMEH,^RUT
