"","Symbol","Last","% Change","Day Range","Low","High","Volume","Bid","Ask","Year Range","Year Low","Year High","Prev. Close","Market Cap","P/E","Beta","% MTD","% YTD"
"","AAPL","171.85","1.9941836310760186","845720991.1321458","169.43","172.14","68039382","171.6","171.99","4073989.16526","130.06","182.01","168.49","2707769092000","27.84","1.2175","5.901175312288487","-3.0804753055133194"
"","AMGN","248.39","0.016106301590501637","3792793730.7952704","246.29","249.64","3461117","245","252","12751972.002119998","198.64","258.45","248.35","132668570000","21.05","0.6584","0.3717622338061055","10.410276925812333"
"","AXP","165.54","1.564513160316583","732553642.0237241","163.29","165.97","1942595","165.53","165.8","4438483.05264","134.12","199.55","162.99","122201426500","16.72","1.3399","7.67432800934944","1.3691931540342317"
"","BA","169.97","1.2449368596616717","813482938.3723832","167.57","170.11","4345220","169.85","170","4633038.86227","113.02","241.15","167.88","99688990700","","1.6488","6.703910614525155","-15.562288893304189"
"","CAT","196.6","1.3402061855670055","1458227982.441888","193.86","196.98","1864797","196.5","196.7","7824061.67088","167.08","237.9","194","103474556000","15.52","0.9309","-0.7112232030264787","-4.78862339169972"
"","CRM","190","1.7511915600064265","1249657063.7402565","185.5","189.99","3846152","189.9","190","9149082.969124999","154.55","311.75","186.73","185796350000","181.24","1.1775","3.1898706662319087","-25.27840081847873"
"","CSCO","46.75","1.85185185185186","4590502.016102999","46.045","46.6","16967587","46","46.86","122309.93955699999","40.82","64.285","45.9","190070064000","16.11","0.9334","2.733083535375802","-26.44784598390405"
"","CVX","159.9","0.17541661445934498","641194746.9706205","157.15","159.91","7244736","159.64","159.9","2707485.5904","92.86","182.4","159.62","313622972200","10.66","1.1305","-2.3995603858835035","36.216446527481885"
"","DIS","121.41","3.160846291103736","207105533.01221737","119.03","121.61","21964785","121.4","121.44","2057612.9002118902","90.23","187.5799","117.69","214369981200","81.14","1.0302","14.580584354382653","-21.512040803150622"
"","DOW","55.85","1.0676800579080714","9569566.230378838","55.31","55.98","4389097","55.85","55.94","194003.395446","48.27","71.86","55.26","39685963700","6.19","1.2225","5.111821086261981","-1.3928067700987312"
"","GS","354.7","0.8587352138307525","15450264879.17445","350.2","354.56","2369177","353.87","354.8","41893630.49498016","277.84","426.1582","351.68","120783441000","7.95","1.189","6.127958247097998","-7.510129394850351"
"","HD","314.98","1.380797579580939","9560846758.110035","310.33","314.91","2273796","314.52","315","35033260.485879","264.51","420.61","310.69","319314754400","19.72","1.0357","4.635475510068443","-24.124719886267798"
"","HON","200.61","1.0578812150521477","1588698918.333858","198.24","200.98","2257876","190.96","204","7888823.6782737505","167.35","234.6775","198.51","133734598900.00002","27.07","0.9947","4.369739166580056","-3.6640928492638225"
"","IBM","134.01","1.109099139882308","314355883.5337991","131.99","134.09","2767054","133.54","134.2","2221921.821888","114.56","144.73","132.54","119707477200","21.54","0.831","2.461961923694478","0.26185844680532977"
"","INTC","36.09","1.4048890137679182","1656710.9167276204","35.67","36.14","37675228","36","36.15","69910.11551999999","34.4","56.28","35.59","146132540000","7.63","1.1701","-0.5508124483613375","-29.883495145631066"
"","JNJ","165.46","-1.0051453871006255","764269697.8552501","165.15","167.5","14606901","165.4","165.73","4805496.93204","155.72","186.69","167.14","439441145200","24.29","0.5504","-5.283062113224846","-3.3728882913427127"
"","JPM","122.2","1.7146662227401466","214243989.67522797","119.44","122.25","9906716","122.08","122.2","2240369.525088","106.06","172.96","120.14","352857187000","9.64","1.1556","5.868585298196938","-22.873381749289546"
"","KO","63.68","0.7276178424549196","16199542.875297602","63.09","63.76","9489284","63.6","63.68","223791.85920000004","52.28","67.2","63.22","273403108599.99997","28.74","0.6874","-0.7324294841826395","7.583178517142386"
"","MCD","262.18","1.1184819500154486","4631823543.914805","259.55","262.52","1530824","261.01","262.5","15474539.041225","217.675","271.15","259.28","190756703800","31.95","0.8246","-0.4518358203288164","-2.197187301824144"
"","MMM","152.5","1.8976346385139564","520853429.173653","150.11","152.29","2347064","152.5","152.65","3877234.9228800004","125.6","202.77","149.66","85246934600","20.93","0.7376","6.283161128176484","-14.293756685244608"
"","MRK","91.24","2.5975486337568743","65570858.98221342","88.99","91.03","12317663","90.5","91.24","617624.474616","70.89","95.72","88.93","224887073300","13.61","0.5603","1.8804566823371394","18.763048016701454"
"","MSFT","292.17","1.7943000487770977","7018048012.769311","286.95","291.91","22619675","289.3","292.5","24651449.704247","241.51","349.67","287.02","2140563587799.9998","29.76","1.1508","3.9787703925340256","-13.204686013320632"
"","NKE","116.09","1.7440841367221793","174976349.36280027","113.79","116.11","4407890","115.81","116.09","2069043.27561","99.53","179.1","114.1","178982965000","30.41","1.0182","1.0006961364427358","-30.35939281214376"
"","PG","146.66","0.9637890678782846","453132101.732567","144.96","146.72","5038748","146.41","146.66","3140619.04275","129.5","165.35","145.26","348522318000","25.03","0.5959","5.586350874667034","-10.33744956596162"
"","TRV","171.56","1.6290504117054683","841668973.9998046","169.33","171.63","867370","168.81","171.9","4689128.01552","145.4","187.98","168.81","40060807500","11.7","0.946","8.10333963453056","9.67205778942657"
"","UNH","544.5","2.184438689336776","84360761989.23677","534.99","544.28","1981072","544.5","544.95","115251603.91176","383.12","553.29","532.86","499914331900","27.83","0.983","0.2507652026404017","8.276576253634449"
"","V","211.3","0.10422588592002846","1996435271.8023844","210.12","213","6443688","211.13","211.33","9364773.561108","185.91","238.36","211.08","436688636400","31.82","1.0855","-0.36773372306821983","-2.482580406995527"
"","VZ","45.2","0.937918713711472","4100448.2707901997","44.81","45.26","15090888","45.11","45.2","111050.62395000001","43.765","56.2","44.78","188063461600","8.99","0.4391","-2.251569603810344","-13.106235565819869"
"","WBA","40.5","1.073122036436236","2649436.0388045553","39.97","40.755","4416343","39.96","40.75","81640.6965","36.57","55","40.07","34630778000","6.46","0.7689","2.4482584553256137","-22.181748466257655"
"","WMT","132.25","1.871822523494071","295966336.6506528","129.8","132.84","8874966","132.17","132.3","2492809.4923380003","117.27","160.77","129.82","355856093000","27.89","0.4683","0.12873911397197624","-8.618425599557678"
