"","Symbol","Last","% Change","Day Range","Low","High","Volume","Bid","Ask","Year Range","Year Low","Year High","Prev. Close","Market Cap","P/E","Beta","% MTD","% YTD"
"","A","133.55","1.2125805229253661","309470116.3329685","131.42","133.63","865778","130","133.99","2698406.6502199997","112.52","179.57","131.95","39414520600","31.75","0.9434","-0.41014168530946193","-16.348261822737232"
"","AAL","15.24","1.6677785190126748","52516.515196124994","15.03","15.285","21151015","15.21","15.28","4066.1913750000003","11.93","22.35","14.99","9741191500","","1.3855","11.232676878191095","-15.089086859688205"
"","AAP","202.53","2.5883902340188447","1599315753.5693645","197.45","202.58","530357","195.25","210","8122708.686000001","164","244.55","197.42","11971509300","21.97","0.9479","4.601797334986046","-15.570285142571283"
"","AAPL","171.85","1.9941836310760186","845720991.1321458","169.43","172.14","68039382","171.6","171.99","4062692.004959999","129.04","182.94","168.49","2707769092000","27.84","1.2175","5.901175312288487","-3.0804753055133194"
"","ABBV","142.35","0.19003378378377178","405774910.54356486","140.28","142.77","5208659","142.35","142.6","2647947.89896","105.56","175.91","142.08","251070988800","20.11","0.63","-0.6341021531600544","5.317577548005903"
"","ABC","150.5","1.538253946835777","497600732.10441995","148.1","150.62","880952","147.44","159.99","2860426.9596","113.68","167.19","148.22","31046754100","17.02","0.7752","3.131638456794339","13.25156144179398"
"","ABMD","293.59","0.9143092840202094","7262159754.884246","287.94","295.28","144721","265.59","308.54","24481327.822047252","219.845","379.295","290.93","13273914000","61.4","0.8653","0.19794546261218127","-18.25876325973774"
"","ABT","110.99","0.45252964069146806","151718456.0796768","110.45","111.52","2813381","110.56","111.76","1609417.13952","101.24","142.6","110.49","193492297800","23.05","0.811","2.4255788313120252","-20.790109421628532"
"","ACN","319.74","1.6920043254245787","10187829043.65363","315.095","320.91","1774367","319.74","323.25","35009654.54375599","261.77","417.37","314.42","198885742200","30.5","1.0599","4.630052896231973","-22.701724761789897"
"","ADBE","445.78","2.5040814918715126","37775404020.7226","437","446","2150845","440","447.11","105376229.22839999","338","699.54","434.89","203528520000","42.45","1.1957","8.668194674729346","-21.406905794801247"
"","ADI","179.03","2.566599828129479","985718896.7501502","175.23","179.78","3198431","172.6","181.14","4765640.544499999","138.5","191.95","174.55","90732137300","49.51","1.2495","4.2451732961153565","1.9855492973772426"
"","ADM","86.8","3.161397670549082","53433163.998118795","84.61","86.67","2339324","86.2","87","500422.18751999986","58.44","98.88","84.14","47165686700","13.27","0.8419","4.627280415609514","28.125462346500953"
"","ADP","257.08","2.7374815170043476","4153020006.7209835","251.3","257.2","1258391","247.67","260","12588973.313999997","192.26","255","250.23","103974818900","35.73","1.0602","6.494691439946898","4.136588531105501"
"","ADSK","232.36","2.244125671037578","2825805094.9188266","228.92","233.11","957159","226.2","235","13096198.42848","163.2","344.39","227.26","49377234700","103.14","1.2761","7.715421597633143","-17.134321988690925"
"","AEE","94.83","0.8507923003296725","80025425.91776755","94.41","95.06","1740780","94","94.97","755084.4667392","80.2672","99.2","94.03","24280990800","24.13","0.7195","1.8363402061855494","6.538591169531505"
"","AEP","103.96","2.7272727272727115","111075702.949024","101.84","103.85","3186598","103.35","104","872567.5239960001","80.22","104.81","101.2","51989880800","19.94","0.5841","5.2962662337662225","16.64606046982129"
"","AES","24.89","2.2176591375769883","370309.6865","24.44","25","4125245","24.36","25.02","12290.741736000002","18.62","26.52","24.35","16262391000","","1.163","12.016201620162015","2.427983539094658"
"","AFL","64.1","2.330779054916965","16117492.34960496","62.73","64.06","2090744","63.4","64.1","220648.40448","51.28","67.2","62.64","40350495600","9.45","1.0969","11.745200698080293","9.659188217160475"
"","AIG","57.41","1.917273211432624","10458035.8003216","56.3","57.44","4318141","57.41","57.75","182621.40232350002","48.395","65.73","56.33","44624175400","3.72","1.4059","10.894340351554943","0.9672880759760805"
"","AIZ","166.28","1.7376407244248604","740521784.4710515","163.87","166.28","374017","163.55","168.8","4653881.487648","144.18","194.12","163.44","8696528000","32.67","0.9036","-5.40448287632268","6.685486975490806"
"","AJG","189.4","2.2678185745140578","1236481539.66588","185.97","189.55","532646","185.76","189.9","4953432.89872","139.76","187.13","185.2","38820512800","37.34","0.917","5.815967372478914","11.628455236635826"
